activity_id,split_average_cadence,split_average_hr,split_average_speed,split_distance,split_elevation_gain,split_index,split_max_hr,split_max_speed,split_time
2924872773,78,141.6,3.42,1000,45,2,153,4.7,292
2924872773,79.3,150.9,3.44,1000,80,3,165,4.5,291
2924872773,78.8,140.2,3.55,1000,17,4,164,5.4,282
2924872773,79.2,143.8,3.65,1000,29,5,151,4.7,274
2924872773,80.2,154,3.67,216.73,15,6,159,4.7,59
2920069069,79.9,127,3.58,1000,11,1,139,4.4,279
2920069069,81.1,150.4,3.56,1000,72,2,165,4.8,281
2920069069,80.8,159.5,3.69,1000,38,3,174,4.4,271
2920069069,81.5,162.1,3.64,1000,52,4,169,4.4,275
2920069069,81,168.7,3.7,1000,67,5,172,4.3,270
2920069069,80.1,158,3.69,1000,30,6,168,4.6,271
2920069069,80.4,152.8,3.56,1000,42,7,169,4.3,281
